Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
134,45,95,94,False,3.8,1,4/23/2025 11:57:33 AM,False,0,1,86,17,3007,,3.8,3,4/23/2025 12:47:35 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
135,45,95,133,False,3.8,1,4/23/2025 3:00:01 PM,False,0,1,86,17.6,3471,,3.8,2,4/23/2025 3:57:47 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
136,45,95,1194,False,3.8,0,4/24/2025 11:51:19 AM,False,0,1,86,8.3,171,,3.8,0,4/24/2025 11:54:05 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
137,45,95,3,False,3.8,0,4/24/2025 11:56:53 AM,False,0,1,86,20.3,2916,,3.8,3,4/24/2025 12:45:24 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
138,45,95,1257,False,3.8,0,4/25/2025 9:41:31 AM,False,0,1,86,5.5,209,,3.8,0,4/25/2025 9:44:55 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
139,45,95,4,False,3.8,0,4/25/2025 9:48:30 AM,False,0,1,86,20.1,3173,,3.8,4,4/25/2025 10:41:17 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
140,45,95,224,False,3.8,1,4/25/2025 2:24:31 PM,False,0,1,86,19.9,3619,,3.8,4,4/25/2025 3:24:45 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
141,45,95,1089,False,3.8,0,4/26/2025 9:33:04 AM,False,0,1,86,26.7,3469,,3.8,5,4/26/2025 10:30:48 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
142,45,95,87,False,3.8,3,4/26/2025 11:56:56 AM,False,0,1,86,8.8,554,,3.8,3,4/26/2025 12:06:05 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
143,45,95,4,False,3.8,3,4/26/2025 12:09:52 PM,False,0,1,86,24.2,2989,,3.8,6,4/26/2025 12:59:36 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
144,45,95,3016,False,3.8,0,4/28/2025 3:14:27 PM,False,0,1,86,13.1,2999,,3.8,0,4/28/2025 4:04:21 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
145,45,95,2495,False,3.8,0,4/30/2025 9:38:33 AM,False,0,1,86,18.1,3458,,3.8,5,4/30/2025 10:36:06 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
146,45,95,86,False,3.8,2,4/30/2025 12:01:32 PM,False,0,1,86,19.2,3722,,3.8,6,4/30/2025 1:03:29 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
147,45,95,2669,False,3.8,0,5/2/2025 9:31:33 AM,False,0,1,86,18.3,4011,,3.8,6,5/2/2025 10:38:19 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
148,45,95,1910,False,3.8,0,5/3/2025 6:27:14 PM,False,0,1,86,17.4,2938,,3.8,0,5/3/2025 7:16:07 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
149,45,95,2410,False,3.8,0,5/5/2025 11:25:15 AM,False,0,1,86,19.3,3595,,3.8,2,5/5/2025 12:25:05 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
150,45,95,97,False,3.8,1,5/5/2025 2:01:40 PM,False,0,1,86,10.5,3807,,3.8,1,5/5/2025 3:05:02 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1004,1004,Peregrine
151,45,95,1080,False,3.7,0,5/6/2025 9:03:43 AM,False,0,1,86,10.5,4061,,3.7,0,5/6/2025 10:11:19 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
152,45,95,86,False,3.7,0,5/6/2025 11:36:12 AM,False,0,1,86,8.8,4257,,3.7,0,5/6/2025 12:47:04 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
153,45,95,1221,False,3.7,0,5/7/2025 9:06:54 AM,False,0,1,86,11,3804,,3.7,0,5/7/2025 10:10:13 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
154,45,95,97,False,3.7,0,5/7/2025 11:46:51 AM,False,0,1,86,7.9,4705,,3.7,0,5/7/2025 1:05:11 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1004,1004,Peregrine
